Lat,Lon,CDD,HDD
40.702452,-73.943674,1292.430786,4434.958008
40.827531,-73.894809,1172.638306,4597.096191
40.767624,-73.819768,1127.208496,4611.164062
40.710897,-73.891576,1271.055298,4461.206543
40.762533,-73.962493,1253.947266,4468.735352
40.748156,-73.987311,1299.786743,4421.714355
40.647154,-73.890001,1213.813477,4511.538574
40.855299,-73.869378,1058.876709,4771.130859
40.719526,-74.009000,1241.051514,4502.415527
40.768297,-73.969495,1253.947266,4468.735352
40.751775,-73.970371,1253.947266,4468.735352
40.721039,-73.993260,1299.786743,4421.714355
40.777232,-73.979896,1253.947266,4468.735352
40.865995,-73.926971,1112.312378,4719.492188
40.832890,-73.908430,1172.638306,4597.096191
40.668933,-73.895685,1248.203735,4474.631836
40.699585,-73.987156,1294.508667,4433.241699
40.717140,-73.964802,1299.786743,4421.714355
40.673670,-73.993770,1294.508667,4433.241699
40.751364,-73.984265,1253.947266,4468.735352
40.839693,-73.845419,1058.876709,4771.130859
40.741225,-74.000999,1241.051514,4502.415527
40.776358,-73.959510,1253.947266,4468.735352
40.674557,-74.008825,1250.875000,4487.589844
40.875042,-73.902710,1019.952881,4891.804688
40.710022,-74.008665,1241.051514,4502.415527
40.747665,-73.983841,1299.786743,4421.714355
40.773824,-73.963532,1253.947266,4468.735352
40.606171,-73.959395,1271.081543,4461.968262
40.758291,-73.905955,1232.920654,4501.563477
40.665023,-73.926835,1261.567505,4476.884766
40.758784,-73.974494,1253.947266,4468.735352
40.761053,-73.797238,1127.208496,4611.164062
40.643802,-74.082106,1234.214844,4505.997070
40.716804,-73.920247,1310.610718,4415.648926
40.738709,-73.849780,1207.817017,4525.531250
40.886636,-73.908147,1019.952881,4891.804688
40.738421,-73.853927,1207.817017,4525.531250
40.762046,-73.980890,1253.947266,4468.735352
40.833765,-73.914563,1088.174927,4749.377930
40.831547,-73.857744,1136.768311,4632.115234
40.739737,-73.754229,1092.063599,4641.114746
40.715793,-73.836270,1207.817017,4525.531250
40.684103,-73.988097,1294.508667,4433.241699
40.871499,-73.891314,1088.174927,4749.377930
40.717565,-73.983630,1299.786743,4421.714355
